Rang,title,Annee,box_office
0,TOTAL,,47251005026
1,"Avengers: Endgame",2019,2799439100
2,"Avengers: Infinity War",2018,2052415039
3,"Spider-Man: No Way Home",2021,1976900772
4,"The Avengers",2012,1520538536
5,"Avengers: Age of Ultron",2015,1407615874
6,"Black Panther",2018,1382248826
7,"Deadpool & Wolverine",2024,1338073645
8,"Iron Man 3",2013,1215577205
9,"Captain America: Civil War",2016,1155046416
10,"Spider-Man: Far From Home",2019,1131927996
11,"Captain Marvel",2019,1131416446
12,"Doctor Strange in the Multiverse of Madness",2022,955775804
13,"Spider-Man 3",2007,894983373
14,"Spider-Man: Homecoming",2017,880166924
15,"Guardians of the Galaxy Vol. 2",2017,869087963
16,"Black Panther: Wakanda Forever",2022,859208836
17,"Venom",2018,856085151
18,"Thor: Ragnarok",2017,855301806
19,"Guardians of the Galaxy Vol. 3",2023,845555777
20,"Spider-Man",2002,825025036
21,"Deadpool 2",2018,794998228
22,"Spider-Man 2",2004,788976453
23,"Deadpool",2016,783338171
24,"Guardians of the Galaxy",2014,774750147
25,"Thor: Love and Thunder",2022,760928081
26,"The Amazing Spider-Man",2012,757930663
27,"X-Men: Days of Future Past",2014,746045700
28,"Captain America: The Winter Soldier",2014,714421503
29,"The Amazing Spider-Man: The Hero's Destiny",2014,708982323
30,"Spider-Man: Across the Spider-Verse",2023,690615475
31,"Doctor Strange",2016,677796076
32,"Les Nouveaux Héros",2015,657870525
33,"Thor: The Dark World",2013,644783140
34,"Iron Man 2",2010,623933331
35,"Ant-Man and the Wasp",2018,622674139
36,"Logan",2017,619179950
37,"Iron Man",2008,585796247
38,"X-Men: Apocalypse",2016,543934105
39,"The Fantastic Four: First Steps",2025,521858728
40,"Ant-Man",2015,519311965
41,"Venom: Let There Be Carnage",2021,506863592
42,"Venom: The Last Dance",2024,478937618
43,"Ant-Man and the Wasp: Quantumania",2023,476071180
44,"X-Men : L'Affrontement final",2006,460435291
45,"Thor",2011,449326618
46,"Shang-Chi and the Legend of the Ten Rings",2021,432243292
47,"Captain America: Brave New World",2025,415101577
48,"Wolverine : Le Combat de l'immortel",2013,414828246
49,"X-Men 2",2003,407711549
50,"Eternals",2021,402064899
51,"Spider-Man: New Generation",2018,384256930
52,"Thunderbolts*",2025,382436917
53,"Black Widow",2021,379751655
54,"X-Men Origins: Wolverine",2009,373062864
56,"Captain America: The First Avenger",2011,370569774
57,"X-Men : Le Commencement",2011,352616690
58,"Les Quatre Fantastiques",2005,333535934
59,"Les Quatre Fantastiques et le Surfer d'argent",2007,301913131
60,"X-Men",2000,296339528
61,"The Incredible Hulk",2008,264770996
62,"X-Men: Dark Phoenix",2019,252442974
63,"Hulk",2003,245285165
64,"Ghost Rider",2007,228738393
65,"The Marvels",2023,206136825
66,"Daredevil",2003,179179718
67,"Les Quatre Fantastiques",2015,167882881
67,"Morbius",2022,167460961
69,"Blade 2",2002,155010032
70,"Ghost Rider 2 : L'Esprit de vengeance",2012,132563930
71,"Blade: Trinity",2004,131883935
72,"Blade",1998,131183530
73,"Madame Web",2024,100498764
74,"Kraven the Hunter",2024,62076533
75,"Elektra",2005,56995646
76,"The Punisher",2004,54700105
77,"Once Upon a Deadpool",2018,51349833
78,"Les Nouveaux Mutants",2020,49169594
79,"Howard... une nouvelle race de héros",1986,37962774
80,"Punisher : Zone de guerre",2008,10161493